time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
486235441,-35,-40,-42,-41
486254879,-37,-41,-42,-39
486274855,-35,-39,-43,-40
486300854,-36,-40,-43,-40
486314894,-35,-40,-42,-41
486334818,-34,-41,-43,-41
486354927,-34,-40,-44,-41
486377363,-36,-39,-43,-40
486394854,-35,-41,-44,-41
486414851,-35,-40,-45,-41
486434882,-35,-42,-44,-41
486456290,-37,-42,-46,-40
486475023,-37,-42,-46,-41
486494851,-37,-42,-45,-41
486514865,-35,-41,-46,-41
486534837,-36,-44,-45,-40
486556394,-38,-43,-45,-40
486577446,-38,-42,-45,-40
486602881,-36,-44,-47,-41
486615003,-35,-43,-47,-41
486638227,-35,-43,-45,-41
486658442,-36,-41,-47,-40
486674888,-36,-40,-47,-41
486697798,-35,-41,-47,-40
486714879,-35,-41,-46,-40
486734848,-35,-42,-46,-39
486754884,-35,-41,-47,-40
486774787,-35,-42,-46,-40
486795005,-36,-41,-46,-41
486814788,-35,-40,-47,-39
486836245,-35,-41,-49,-41
486854860,-35,-41,-49,-41
486878085,-35,-40,-50,-41
486897984,-35,-40,-50,-41
486914872,-34,-41,-50,-40
486937239,-34,-42,-50,-39
486957545,-34,-40,-50,-39
486977294,-34,-41,-51,-39
486994875,-35,-41,-50,-40
487014852,-37,-41,-49,-38
487036996,-36,-40,-47,-40
487054836,-37,-40,-46,-38
487075066,-37,-40,-45,-39
487094871,-37,-41,-46,-40
487115240,-37,-43,-47,-40
487134868,-38,-41,-46,-40
487154862,-39,-40,-48,-40
487177232,-37,-40,-46,-40
487196739,-37,-40,-47,-40
487214844,-37,-40,-47,-40
487234881,-37,-41,-47,-41
487254916,-36,-41,-48,-39
487276681,-34,-41,-48,-41
487295159,-36,-41,-48,-40
487314979,-37,-40,-50,-40
487334898,-37,-43,-50,-41
487356564,-36,-43,-50,-40
487375232,-38,-42,-50,-40
487396612,-38,-42,-49,-39
487414828,-38,-43,-49,-40
487434865,-39,-42,-50,-41
487454851,-38,-44,-49,-40
487474876,-40,-45,-49,-40
487494898,-40,-45,-49,-39
487521351,-42,-48,-48,-40
487534861,-44,-48,-48,-40
487556503,-44,-50,-48,-41
487575448,-45,-49,-48,-39
487601413,-45,-49,-48,-41
487615001,-46,-50,-49,-40
487634873,-46,-50,-49,-40
487654882,-45,-50,-49,-40
487674859,-43,-47,-49,-39
487695093,-42,-47,-52,-40
487715679,-42,-46,-52,-41
487734856,-41,-46,-51,-40
487754969,-39,-45,-48,-40
487776172,-39,-44,-48,-40
487794868,-39,-45,-46,-40
487814843,-40,-43,-48,-40
487837486,-40,-46,-46,-40
487854870,-39,-44,-47,-40
487874870,-40,-45,-45,-41
487895048,-39,-43,-44,-41
487914835,-37,-46,-44,-40
487937621,-39,-44,-45,-41
487954840,-41,-46,-44,-40
487974837,-41,-46,-44,-39
487994931,-42,-46,-45,-41
488019187,-43,-46,-45,-40
488034852,-42,-45,-46,-40
488054849,-40,-46,-45,-41
488075095,-43,-47,-44,-41
488094861,-42,-46,-45,-41
488115249,-41,-47,-44,-41
488139783,-39,-47,-46,-40
488154850,-41,-47,-45,-40
488174837,-41,-47,-47,-41
488196656,-41,-44,-47,-41
488215822,-41,-45,-47,-40
488236019,-40,-47,-47,-40
488254834,-40,-47,-50,-40
488274846,-43,-47,-50,-41
488299058,-44,-49,-51,-40
488315443,-45,-49,-51,-39
488334793,-46,-50,-51,-39
488354866,-46,-51,-50,-40
488374871,-47,-51,-50,-41
488394933,-47,-51,-49,-41
488416735,-45,-50,-49,-39
488440281,-46,-49,-49,-41
488454823,-44,-50,-49,-40
488475880,-46,-50,-51,-40
488494821,-46,-48,-52,-39
488514784,-45,-48,-50,-41
488534845,-43,-48,-49,-41
488554803,-41,-47,-46,-41
488574822,-40,-45,-46,-40
488594831,-38,-43,-45,-40
488615216,-36,-43,-48,-41
488635718,-39,-43,-48,-40
488654832,-40,-45,-51,-40
488676835,-43,-47,-52,-40
488694835,-46,-51,-52,-39
488716051,-48,-50,-51,-40
488737329,-46,-50,-47,-41
488757020,-44,-49,-47,-40
488774844,-45,-49,-47,-40
488797242,-47,-52,-47,-41
488818500,-49,-54,-48,-41
488836896,-51,-55,-50,-40
488854828,-55,-59,-51,-39
488876990,-54,-58,-51,-40
488894839,-50,-54,-52,-39
488914851,-46,-50,-52,-40
488934812,-44,-48,-50,-40
488954829,-40,-48,-50,-41
488974841,-41,-48,-48,-42
488994849,-43,-48,-46,-41
489016224,-43,-48,-46,-41
489035056,-43,-48,-44,-41
489054817,-43,-48,-45,-41
489078609,-43,-47,-46,-39
489099630,-44,-47,-47,-40
489118461,-43,-48,-47,-41
489137429,-44,-48,-47,-39
489157819,-44,-49,-48,-41
489175545,-45,-49,-47,-41
489194841,-46,-50,-46,-41
489215894,-45,-50,-46,-40
489235145,-45,-50,-47,-39
489254830,-47,-51,-47,-40
489274841,-48,-52,-48,-40
489298214,-48,-51,-50,-39
489318532,-48,-51,-51,-39
489334808,-48,-51,-50,-41
489358671,-48,-52,-52,-40
489376086,-48,-52,-52,-40
489394904,-50,-54,-54,-41
489415671,-55,-59,-57,-40
489434821,-61,-64,-61,-40
489454836,-64,-67,-62,-41
489474831,-64,-68,-61,-41
489496130,-61,-64,-56,-40
489514845,-56,-58,-54,-39
489535220,-50,-53,-54,-40
489557093,-47,-49,-54,-40
489575570,-45,-49,-55,-41
489594829,-43,-49,-56,-40
489614987,-41,-48,-59,-41
489634931,-42,-47,-56,-39
489654872,-42,-48,-54,-40
489679915,-43,-50,-52,-41
489694826,-45,-50,-52,-40
489714832,-49,-52,-53,-39
489734825,-53,-59,-53,-39
489754816,-57,-58,-53,-40
489774830,-51,-55,-53,-39
489794834,-47,-51,-51,-39
489814817,-46,-49,-51,-39
489837142,-44,-48,-52,-39
489854816,-41,-46,-51,-39
489876286,-43,-47,-54,-39
489895018,-42,-48,-57,-41
489916758,-43,-48,-60,-41
489935237,-45,-47,-63,-39
489956664,-44,-48,-61,-40
489975011,-45,-49,-56,-39
489999323,-43,-49,-53,-39
490015765,-45,-48,-52,-40
490034847,-45,-50,-48,-40
490059145,-44,-50,-47,-39
490074814,-46,-50,-47,-40
490095434,-46,-50,-46,-40
490117723,-44,-51,-47,-39
490134842,-44,-50,-47,-40
490154846,-45,-50,-48,-39
490174813,-46,-50,-49,-40
490194812,-46,-51,-49,-41
490214757,-46,-50,-49,-41
490234796,-47,-51,-51,-41
490254800,-49,-52,-51,-41
490275450,-49,-53,-51,-40
490294812,-49,-53,-51,-40
490315086,-50,-53,-51,-41
490335595,-52,-57,-52,-42
490355478,-54,-58,-53,-41
490374822,-52,-57,-56,-40
490394839,-52,-57,-60,-41
490414849,-51,-57,-64,-40
490435582,-52,-56,-59,-40
490456843,-52,-56,-54,-41
490478368,-51,-56,-53,-40
490494749,-51,-55,-51,-40
490514838,-52,-56,-50,-41
490534829,-53,-57,-50,-38
490554839,-54,-57,-49,-40
490574757,-53,-58,-49,-39
490594814,-53,-55,-48,-39
490614943,-51,-55,-49,-39
490634823,-50,-53,-50,-39
490654736,-49,-53,-51,-41
490675163,-49,-52,-50,-41
490694939,-50,-53,-53,-40
490714765,-49,-54,-55,-41
490734719,-50,-54,-55,-39
490757012,-52,-56,-53,-42
490775796,-53,-58,-50,-39
490794801,-56,-61,-48,-40
490814764,-59,-62,-48,-38
490835064,-58,-60,-47,-39
490858742,-53,-56,-49,-40
490875205,-51,-53,-51,-40
490894960,-48,-52,-52,-40
490914815,-47,-50,-55,-39
490935812,-48,-51,-57,-39
490954868,-49,-53,-59,-40
490974807,-51,-54,-58,-39
490994788,-51,-56,-55,-41
491014777,-53,-56,-54,-40
491034877,-51,-56,-52,-40
491055586,-51,-55,-50,-41
491074808,-51,-55,-51,-39
491095057,-51,-54,-49,-41
491115104,-51,-54,-48,-39
491134891,-50,-54,-49,-40
491156091,-50,-54,-48,-41
491174901,-49,-54,-49,-40
491194813,-51,-54,-50,-39
491215309,-51,-55,-51,-41
491239739,-52,-56,-51,-40
491255123,-53,-57,-50,-40
491277031,-52,-57,-50,-41
491294789,-52,-55,-49,-40
491314759,-51,-55,-50,-41
491334795,-50,-53,-51,-39
491354830,-49,-53,-51,-40
491375089,-48,-53,-51,-39
491414784,-48,-52,-52,-39
491434887,-47,-53,-51,-39
491455706,-49,-53,-53,-39
491474824,-49,-54,-54,-40
491494807,-51,-54,-54,-39
491514809,-50,-55,-55,-40
491534954,-49,-54,-54,-39
491554820,-49,-53,-54,-39
491574800,-48,-51,-53,-40
491594989,-47,-51,-52,-40
491616746,-46,-51,-52,-40
491636347,-48,-51,-52,-41
491656151,-46,-50,-51,-39
491676038,-46,-49,-51,-40
491697407,-45,-51,-50,-40
491714803,-44,-48,-51,-39
491734804,-45,-50,-50,-40
491754848,-43,-48,-48,-39
491774779,-45,-49,-47,-39
491794794,-44,-49,-47,-40
491814787,-45,-50,-47,-39
491840954,-45,-50,-48,-40
491856866,-47,-50,-48,-39
491874794,-48,-52,-48,-40
491896516,-50,-53,-50,-40
491914917,-51,-55,-50,-40
491934778,-53,-58,-51,-38
491954870,-58,-61,-51,-40
491974806,-56,-60,-50,-39
491994819,-52,-55,-47,-40
