time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
498235970,-34,-41,-51,-34
498255890,-34,-42,-51,-35
498275916,-34,-42,-52,-34
498295907,-35,-42,-50,-35
498315921,-35,-43,-51,-35
498335889,-34,-43,-51,-34
498356223,-36,-43,-51,-34
498375976,-34,-42,-50,-33
498395910,-35,-41,-50,-35
498415896,-35,-43,-50,-35
498435898,-36,-43,-50,-34
498455886,-35,-42,-49,-33
498475970,-36,-41,-49,-34
498495892,-34,-41,-50,-35
498516163,-34,-40,-49,-34
498536985,-35,-43,-49,-33
498556286,-34,-41,-50,-34
498578160,-36,-41,-50,-33
498595878,-33,-43,-50,-33
498615889,-35,-42,-50,-35
498635922,-36,-43,-50,-35
498657800,-35,-42,-51,-35
498675906,-35,-43,-51,-33
498695860,-36,-42,-50,-34
498715898,-35,-43,-50,-33
498735873,-37,-43,-51,-35
498756093,-35,-42,-51,-34
498776802,-35,-43,-50,-33
498795941,-36,-41,-52,-34
498816352,-35,-43,-50,-35
498836198,-34,-43,-51,-34
498855875,-36,-43,-51,-33
498875892,-35,-43,-53,-33
498895864,-36,-42,-51,-35
498915910,-36,-42,-52,-33
498935880,-37,-44,-52,-35
498955908,-34,-44,-52,-34
498975883,-35,-42,-52,-33
498996158,-37,-43,-53,-34
499015980,-37,-43,-52,-33
499036015,-35,-42,-53,-33
499056074,-35,-42,-53,-35
499076103,-36,-43,-53,-32
499095877,-38,-42,-52,-35
499117880,-36,-43,-53,-34
499139309,-35,-43,-52,-33
499156111,-35,-43,-52,-34
499175870,-35,-42,-49,-34
499195939,-36,-42,-49,-33
499215859,-34,-43,-50,-35
499237341,-35,-41,-49,-34
499255883,-33,-41,-49,-35
499275888,-32,-41,-49,-34
499296087,-33,-42,-50,-35
499315911,-34,-40,-51,-33
499335880,-34,-42,-51,-33
499356072,-35,-42,-51,-33
499375863,-34,-43,-50,-34
499398200,-37,-42,-50,-33
499415871,-36,-43,-52,-35
499435890,-36,-42,-51,-35
499457394,-35,-43,-51,-35
499476860,-34,-41,-50,-33
499496005,-33,-42,-51,-34
499516060,-33,-42,-50,-33
499536032,-33,-42,-52,-36
499556768,-33,-40,-51,-34
499576103,-33,-41,-50,-34
499596001,-33,-42,-49,-35
499615893,-34,-42,-49,-35
499635870,-34,-42,-51,-34
499655864,-34,-42,-50,-35
499675892,-35,-42,-50,-34
499698504,-33,-41,-50,-36
499715879,-33,-40,-50,-33
499735848,-33,-41,-50,-35
499756196,-34,-41,-50,-34
499775846,-34,-41,-49,-34
499795904,-33,-40,-49,-35
499816189,-31,-40,-50,-35
499836086,-33,-41,-49,-34
499855878,-32,-41,-50,-36
499875879,-32,-41,-49,-32
499895862,-33,-41,-49,-32
499915964,-33,-41,-49,-34
499937046,-32,-42,-49,-34
499957285,-34,-42,-50,-34
499975871,-33,-42,-49,-35
499995880,-32,-42,-49,-35
500016298,-34,-41,-49,-35
500035892,-34,-41,-49,-34
500056067,-33,-42,-49,-35
500075961,-34,-41,-49,-34
500097428,-32,-41,-49,-35
500115887,-34,-41,-49,-34
500136910,-32,-41,-49,-35
500155866,-34,-40,-49,-34
500175869,-33,-42,-49,-34
500195863,-33,-40,-49,-34
500217017,-34,-41,-49,-35
500235866,-36,-42,-48,-33
500255871,-35,-42,-48,-35
500276185,-36,-41,-50,-34
500296052,-34,-42,-49,-35
500315870,-33,-40,-49,-33
500335911,-32,-41,-49,-33
500355886,-32,-41,-50,-35
500376182,-33,-41,-51,-33
500400626,-32,-41,-53,-35
500415842,-33,-39,-52,-35
500435879,-30,-39,-49,-33
